"field_name","form_name","section_header","field_type","field_label","select_choices_or_calculations","field_note","text_validation_type_or_show_slider_number","text_validation_min","text_validation_max","identifier","branching_logic","required_field","custom_alignment","question_number","matrix_group_name","matrix_ranking","field_annotation"
"record_id","fieldtovar_datetimes",,"text","Record ID",,,,,,,,,,,,,
"date_dmy","fieldtovar_datetimes",,"text","Date (D-M-Y)",,,"date_dmy",,,,,,,,,,"units={""time""}"
"date_mdy","fieldtovar_datetimes",,"text","Date (M-D-Y)",,,"date_mdy",,,,,,,,,,
"date_ymd","fieldtovar_datetimes",,"text","Date (Y-M-D)",,,"date_ymd",,,,,,,,,,
"datetime_dmy_hm","fieldtovar_datetimes",,"text","Datetime (D-M-Y H:M)",,,"datetime_dmy",,,,,,,,,,
"datetime_mdy_hm","fieldtovar_datetimes",,"text","Datetime (M-D-Y H:M)",,,"datetime_mdy",,,,,,,,,,
"datetime_ymd_hm","fieldtovar_datetimes",,"text","Datetime (Y-M-D H:M)",,,"datetime_ymd",,,,,,,,,,
"datetime_dmy_hms","fieldtovar_datetimes",,"text","Datetime w/ seconds (D-M-Y H:M:S)",,,"datetime_seconds_dmy",,,,,,,,,,
"datetime_mdy_hms","fieldtovar_datetimes",,"text","Datetime w/ seconds (M-D-Y H:M:S)",,,"datetime_seconds_mdy",,,,,,,,,,
"datetime_ymd_hms","fieldtovar_datetimes",,"text","Datetime w/ seconds (Y-M-D H:M:S)",,,"datetime_seconds_ymd",,,,,,,,,,
"time_hhmmss","fieldtovar_datetimes",,"text","Time (HH:MM:SS)",,,"time_hh_mm_ss",,,,,,,,,,
"time_hhmm","fieldtovar_datetimes",,"text","Time (HH:MM)",,,"time",,,,,,,,,,
"time_mmss","fieldtovar_datetimes",,"text","Time (MM:SS)",,,"time_mm_ss",,,,,,,,,,
"treatment","randomization",,"dropdown","Treatment","1, Control | 2, Treatment",,,,,,,,,,,,
"row_purpose","branching_logic","Prerequisites","notes","Intended result for this record",,,,,,,,,,,,,
"prereq_radio","branching_logic",,"radio","Pre-requisite as a Radio Button","1, Radio1 | 2, Radio2 | ABC, RadioABC | 4, Do not use in branching logic",,,,,,,,,,,,
"prereq_checkbox","branching_logic",,"checkbox","Pre-requisite as a checkbox","1, Checkbox1 | 2, Checkbox2 | ABC, CheckboxABC | 4, Do not use in branching logic",,,,,,,,,,,,
"prereq_number","branching_logic",,"text","Pre-requisite as a number",,,"number",,,,,,,,,,
"prereq_date","branching_logic",,"text","Pre-requisite as a Date",,,"date_ymd",,,,,,,,,,
"prereq_yesno","branching_logic",,"yesno","Pre-requisite as a yes/no",,,,,,,,,,,,,
"no_prereq_number","branching_logic","Evaluation Fields","text","Requires no pre-requisite",,,"number",,,,,,,,,,
"no_prereq_checkbox","branching_logic",,"checkbox","No pre-requisite checkbox","1, Pretzel | 2, Chocolate | 3, Fruit",,,,,,,,,,,,
"one_prereq_non_checkbox","branching_logic",,"dropdown","Simple pre-requisite from a non checkbox field","1, Book | 2, Concert | 3, Movie",,,,,,"[prereq_radio] = '1'",,,,,,
"one_prereq_checkbox","branching_logic",,"text","Simple pre-requisite from a checkbox field",,,"date_ymd",,,,"[prereq_checkbox(ABC)] = '1'",,,,,,
"two_prereq_and","branching_logic",,"radio","Composite AND pre-requisite","1, blue | 2, purple | 3, red",,,,,,"[prereq_yesno] = '0' and [prereq_radio] = 'ABC'",,,,,,
"two_prereq_or","branching_logic",,"truefalse","Composite OR pre-requisite",,,,,,,"[prereq_yesno] = '1' or [prereq_date] > '2024-01-01'",,,,,,
"two_prereq_and_one_check","branching_logic",,"text","Composite AND pre-requisite using one checkbox",,,,,,,"[prereq_checkbox(1)] = '1' or [prereq_number] = '5'",,,,,,
"three_prereq_andor","branching_logic",,"dropdown","Compound pre-requisite (A AND B) OR C","1, Christopher Eccleston | 2, David Tenant | 3, Matt Smith | 4, Peter Capaldi | 5, Jodi Whitaker",,,,,,"([prereq_radio] = '2' and [prereq_yesno] = '0') or [prereq_checkbox(2)] = '1'",,"RH",,,,
"one_prereq_inequality","branching_logic",,"yesno","One pre-requisite on inequality",,,,,,,"[prereq_number] < 0",,,,,,
"file_import_field","data_import_export",,"file","Field to hold files for import",,,,,,,,,,,,,
"left_operand","data_import_export",,"text","Left operand of a calculated field.",,,"number",,,,,,,,,,
"right_operand","data_import_export",,"text","Right operand of a calculated field.",,,"number",,,,,,,,,,
"calc_addition","data_import_export",,"calc","Calculated Field, add left_operand + right_operand","[left_operand] + [right_operand]",,,,,,,,,,,,
"calc_squared","data_import_export","New Section Example - All Variable Types Below","calc","Square the left operand","([left_operand])^2",,,,,,,,,,,,
"text_test","data_import_export",,"text","Text field with no validation",,,,,,,,,,,,,
"date_dmy_test","data_import_export",,"text","Date field DMY",,,"date_dmy",,,,,,,,,,
"date_mdy_test","data_import_export",,"text","Date field MDY",,,"date_mdy",,,,,,,,,,
"date_ymd_test","data_import_export",,"text","Date with YMD Validation",,,"date_ymd",,,,,,,,,,
"datetime_dmy_hm_test","data_import_export",,"text","Date Time with DMY HM Validation",,,"datetime_dmy",,,,,,,,,,
"datetime_mdy_hm_test","data_import_export",,"text","Date Time with MDY HM validation",,,"datetime_mdy",,,,,,,,,,
"datetime_ymd_hm_test","data_import_export",,"text","Date Time with YMD HM Validation",,,,,,,,,,,,,
"datetime_dmy_hms_test","data_import_export",,"text","Date Time with DMY HMS Validation",,,"datetime_seconds_dmy",,,,,,,,,,
"datetime_mdy_hms_test","data_import_export",,"text","Date Time with MDY HMS Validation",,,"datetime_seconds_mdy",,,,,,,,,,
"datetime_ymd_hms_test","data_import_export",,"text","Date Time with YMD HMS Validation",,,"datetime_seconds_ymd",,,,,,,,,,
"email_test","data_import_export",,"text","Text with Email Validation",,,"email",,,,,,,,,,
"integer_test","data_import_export",,"text","Number with Integer Validation",,,"integer",,,,,,,,,,
"letters_only_test","data_import_export",,"text","Text with Letters Only Validation",,,"alpha_only",,,,,,,,,,
"number_test","data_import_export",,"text","Number validation",,,"number",,,,,,,,,,
"number_1dp_comma_test","data_import_export",,"text","Number with 1 Decimal Place Validation (Comma Decimal)",,,"number_1dp_comma_decimal",,,,,,,,,,
"number_1dp_test","data_import_export",,"text","Number with One Decimal Place Validation",,,"number_1dp",,,,,,,,,,
"number_2dp_comma_test","data_import_export",,"text","Number with Two Decimal Place Validation (Comma decimal)",,,"number_2dp_comma_decimal",,,,,,,,,,
"number_2dp_test","data_import_export",,"text","Number with Two Decimal Place Validation",,,,,,,,,,,,,
"phone_test","data_import_export",,"text","Phone number Validation",,,"phone",,,,,,,,,,
"time_hhmm_test","data_import_export",,"text","Time with HH:MM Validation",,,"time",,,,,,,,,,
"time_mmss_test","data_import_export",,"text","Time with MM:SS Validation",,,"time_mm_ss",,,,,,,,,,
"zipcode_test","data_import_export",,"text","Zipcode Validation",,,"zipcode",,,,,,,,,,
"notes_test","data_import_export",,"notes","Notes Box ",,,,,,,,,,,,,
"dropdown_test","data_import_export",,"dropdown","Drop Down Field","1, Green | 2, Blue | 3, Lavender",,,,,,,,,,,,
"radio_test","data_import_export",,"radio","Radio Button Example","a, Carnation | b, Tulip | c, Daffodil",,,,,,,,,,,,
"checkbox_test","data_import_export",,"checkbox","Checkbox Example","x, Guitar | y, Ukulele | z, Mandolin",,,,,,,,,,,,
"yesno_test","data_import_export",,"yesno","Yes/No Example",,,,,,,,,,,,,
"truefalse_test","data_import_export",,"truefalse","True/False Example",,,,,,,,,,,,,
"signature_test","data_import_export",,"file","Signature Field",,,"signature",,,,,,,,,,
"file_upload_test","data_import_export",,"file","File Upload example",,,,,,,,,,,,,
"slider_no_label_test","data_import_export",,"slider","Slider With no labels example",,,,,50,,,,"RH",,,,
"slider_text_label_test","data_import_export",,"slider","Slider Text Label Example","Not a Fan |  | Obsessed",,,,,,,,"RH",,,,
"slider_show_number_test","data_import_export",,"slider","Slider with Number Display Example","0 | 50 | 100",,,,,,,,"RH",,,,
"descriptive_test","data_import_export",,"descriptive","Descriptive Text Example",,,,,,,,,,,,,
