"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,record_id,,text,"Record ID",,,,,,,,,,,,,
treatment,randomization,,dropdown,Treatment,"1, Control | 2, Treatment",,,,,,,,,,,,
email_test,text_fields,,text,"Text with Email Validation",,,email,,,,,,,,,,
letters_only_test,text_fields,,text,"Text with Letters Only Validation",,,alpha_only,,,,,,,,,,
phone_test,text_fields,,text,"Phone number Validation",,,phone,,,,,,,,,,
text_test,text_fields,,text,"Text field with no validation",,,,,,,,,,,,,
zipcode_test,text_fields,,text,"Zipcode Validation",,,zipcode,,,,,,,,,,
date_dmy_test,dates_and_times,,text,"Date field DMY",,,date_dmy,,,,,,,,,,
date_mdy_test,dates_and_times,,text,"Date field MDY",,,date_mdy,,,,,,,,,,
date_ymd_test,dates_and_times,,text,"Date with YMD Validation",,,date_ymd,,,,,,,,,,
datetime_dmy_hm_test,dates_and_times,,text,"Date Time with DMY HM Validation",,,datetime_dmy,,,,,,,,,,
datetime_mdy_hm_test,dates_and_times,,text,"Date Time with MDY HM validation",,,datetime_mdy,,,,,,,,,,
datetime_ymd_hm_test,dates_and_times,,text,"Date Time with YMD HM Validation",,,datetime_ymd,,,,,,,,,,
datetime_dmy_hms_test,dates_and_times,,text,"Date Time with DMY HMS Validation",,,datetime_seconds_dmy,,,,,,,,,,
datetime_mdy_hms_test,dates_and_times,,text,"Date Time with MDY HMS Validation",,,datetime_seconds_mdy,,,,,,,,,,
datetime_ymd_hms_test,dates_and_times,,text,"Date Time with YMD HMS Validation",,,datetime_seconds_ymd,,,,,,,,,,
time_hhmm_test,dates_and_times,,text,"Time with HH:MM Validation",,,time,,,,,,,,,,
time_mmss_test,dates_and_times,,text,"Time with MM:SS Validation",,,time_mm_ss,,,,,,,,,,
integer_test,numbers,,text,"Number with Integer Validation",,,integer,,,,,,,,,,
number_1dp_comma_test,numbers,,text,"Number with 1 Decimal Place Validation (Comma Decimal)",,,number_1dp_comma_decimal,,,,,,,,,,
number_1dp_test,numbers,,text,"Number with One Decimal Place Validation",,,number_1dp,,,,,,,,,,
number_2dp_comma_test,numbers,,text,"Number with Two Decimal Place Validation (Comma decimal)",,,number_2dp_comma_decimal,,,,,,,,,,
number_2dp_test,numbers,,text,"Number with Two Decimal Place Validation",,,number_2dp,,,,,,,,,,
number_test,numbers,,text,"Number validation",,,number,,,,,,,,,,
slider_no_label_test,slider_fields,,slider,"Slider With no labels example",,,,,50,,,,RH,,,,
slider_show_number_test,slider_fields,,slider,"Slider with Number Display Example","0 | 50 | 100",,,,,,,,RH,,,,
slider_text_label_test,slider_fields,,slider,"Slider Text Label Example","Not a Fan |  | Obsessed",,,,,,,,RH,,,,
checkbox_test,multiple_choice,,checkbox,"Checkbox Example","x, Guitar | y, Ukulele | z, Mandolin",,,,,,,,,,,,
dropdown_test,multiple_choice,,dropdown,"Drop Down Field","1, Green | 2, Blue | 3, Lavender",,,,,,,,,,,,
radio_test,multiple_choice,,radio,"Radio Button Example","a, Carnation | b, Tulip | c, Daffodil",,,,,,,,,,,,
truefalse_test,multiple_choice,,truefalse,"True/False Example",,,,,,,,,,,,,
yesno_test,multiple_choice,,yesno,"Yes/No Example",,,,,,,,,,,,,
descriptive_test,files_notes_descriptions,,descriptive,"Descriptive Text Example",,,,,,,,,,,,,
file_upload_test,files_notes_descriptions,,file,"File Upload example",,,,,,,,,,,,,
notes_test,files_notes_descriptions,,notes,"Notes Box ",,,,,,,,,,,,,
signature_test,files_notes_descriptions,,file,"Signature Field",,,signature,,,,,,,,,,
left_operand,calculated_fields,,text,"Left operand of a calculated field.",,,number,,,,,,,,,,
right_operand,calculated_fields,,text,"Right operand of a calculated field.",,,number,,,,,,,,,,
calc_addition,calculated_fields,,calc,"Calculated Field, add left_operand + right_operand","[left_operand] + [right_operand]",,,,,,,,,,,,
calc_squared,calculated_fields,"New Section Example - All Variable Types Below",calc,"Square the left operand",([left_operand])^2,,,,,,,,,,,,
row_purpose,branching_logic,Prerequisites,notes,"Intended result for this record",,,,,,,,,,,,,
prereq_radio,branching_logic,,radio,"Pre-requisite as a Radio Button","1, Radio1 | 2, Radio2 | ABC, RadioABC | 4, Do not use in branching logic",,,,,,,,,,,,
prereq_checkbox,branching_logic,,checkbox,"Pre-requisite as a checkbox","1, Checkbox1 | 2, Checkbox2 | ABC, CheckboxABC | 4, Do not use in branching logic",,,,,,,,,,,,
prereq_number,branching_logic,,text,"Pre-requisite as a number",,,number,,,,,,,,,,
prereq_date,branching_logic,,text,"Pre-requisite as a Date",,,date_ymd,,,,,,,,,,
prereq_yesno,branching_logic,,yesno,"Pre-requisite as a yes/no",,,,,,,,,,,,,
no_prereq_number,branching_logic,"Evaluation Fields",text,"Requires no pre-requisite",,,number,,,,,,,,,,
no_prereq_checkbox,branching_logic,,checkbox,"No pre-requisite checkbox","1, Pretzel | 2, Chocolate | 3, Fruit",,,,,,,,,,,,
one_prereq_non_checkbox,branching_logic,,dropdown,"Simple pre-requisite from a non checkbox field","1, Book | 2, Concert | 3, Movie",,,,,,"[prereq_radio] = '1'",,,,,,
one_prereq_checkbox,branching_logic,,text,"Simple pre-requisite from a checkbox field",,,date_ymd,,,,"[prereq_checkbox(ABC)] = '1'",,,,,,
two_prereq_and,branching_logic,,radio,"Composite AND pre-requisite","1, blue | 2, purple | 3, red",,,,,,"[prereq_yesno] = '0' and [prereq_radio] = 'ABC'",,,,,,
two_prereq_or,branching_logic,,truefalse,"Composite OR pre-requisite",,,,,,,"[prereq_yesno] = '1' or [prereq_date] > '2024-01-01'",,,,,,
two_prereq_and_one_check,branching_logic,,text,"Composite AND pre-requisite using one checkbox",,,,,,,"[prereq_checkbox(1)] = '1' or [prereq_number] = '5'",,,,,,
three_prereq_andor,branching_logic,,dropdown,"Compound pre-requisite (A AND B) OR C","1, Christopher Eccleston | 2, David Tenant | 3, Matt Smith | 4, Peter Capaldi | 5, Jodi Whitaker",,,,,,"([prereq_radio] = '2' and [prereq_yesno] = '0') or [prereq_checkbox(2)] = '1'",,RH,,,,
one_prereq_inequality,branching_logic,,yesno,"One pre-requisite on inequality",,,,,,,"[prereq_number] < 0",,,,,,
repeat_question_1,repeating_instrument,,text,"How do you feel today?",,,,,,,,,,,,,
repeat_datetime,repeating_instrument,,text,"Date/Time of Response",,,datetime_dmy,,,,,,,,,,

